candidate_id,rank,score,reasoning
CAND_0016699,35,0.143645,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 13.2 + Active marketplace intent; Platform response rate 0.84.
CAND_0013264,36,0.143536,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.75.
CAND_0086173,37,0.142961,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.30.
CAND_0018764,38,0.142896,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.73.
CAND_0013771,39,0.142797,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 23.6 + Active marketplace intent; Platform response rate 0.53.
CAND_0073370,40,0.142579,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 35.9 + Active marketplace intent; Platform response rate 0.71.
CAND_0051335,41,0.142351,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.55.
CAND_0039053,42,0.142252,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 36.6; Platform response rate 0.71.
CAND_0033085,43,0.142189,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.52.
CAND_0011171,44,0.141978,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.48.
CAND_0004001,45,0.14195,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.36.
CAND_0040436,46,0.141036,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 0.9 + Active marketplace intent; Platform response rate 0.48.
CAND_0026552,47,0.141034,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.15.
CAND_0039977,48,0.140724,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.55.
CAND_0067985,49,0.140696,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 35.3 + Active marketplace intent; Platform response rate 0.33.
CAND_0062838,50,0.140664,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.41.
CAND_0031081,51,0.140428,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 9.1 + Active marketplace intent; Platform response rate 0.48.
CAND_0020884,52,0.14041,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.66.
CAND_0079789,53,0.140099,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.63.
CAND_0042618,54,0.139698,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 29.9 + Active marketplace intent; Platform response rate 0.78.
CAND_0070936,55,0.139565,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.39.
CAND_0056541,56,0.139541,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 47.0 + Active marketplace intent; Platform response rate 0.52.
CAND_0030021,57,0.139392,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.52.
CAND_0031598,58,0.139226,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.70.
CAND_0081013,59,0.139223,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.47.
CAND_0087529,60,0.139004,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.29.
CAND_0070585,61,0.138683,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 26.6; Platform response rate 0.64.
CAND_0019389,62,0.138533,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 47.1 + Active marketplace intent; Platform response rate 0.12.
CAND_0034167,63,0.138509,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.55.
CAND_0074621,64,0.138224,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 30.4; Platform response rate 0.74.
CAND_0005060,65,0.13797,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 9.9 + Active marketplace intent; Platform response rate 0.13.
CAND_0085766,66,0.137848,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 49.4 + Active marketplace intent; Platform response rate 0.70.
CAND_0037944,67,0.13734,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 83.0 + Active marketplace intent; Platform response rate 0.42.
CAND_0099185,68,0.13734,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.29.
CAND_0070320,69,0.137198,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.26.
CAND_0028830,70,0.136989,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 37.8 + Active marketplace intent; Platform response rate 0.38.
CAND_0011084,71,0.136895,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 6.8 + Active marketplace intent; Platform response rate 0.78.
CAND_0022870,72,0.136677,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 36.6 + Active marketplace intent; Platform response rate 0.44.
CAND_0076946,73,0.136545,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 28.0 + Active marketplace intent; Platform response rate 0.25.
CAND_0050553,74,0.136499,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 70.3 + Active marketplace intent; Platform response rate 0.95.
CAND_0033451,75,0.135188,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 38.9 + Active marketplace intent; Platform response rate 0.05.
CAND_0060083,76,0.135152,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 15.5 + Active marketplace intent; Platform response rate 0.66.
CAND_0001088,77,0.135143,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.29.
CAND_0036121,78,0.135039,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 82.9 + Active marketplace intent; Platform response rate 0.49.
CAND_0007915,79,0.134954,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.42.
CAND_0016940,80,0.134712,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.07.
CAND_0010993,81,0.134439,AI/ML Engineer with 5.8 yrs; Systems: Applied production ML background; Platform response rate 0.62.
CAND_0055905,82,0.134316,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.87.
CAND_0059672,83,0.134087,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 41.5 + Active marketplace intent; Platform response rate 0.14.
CAND_0088369,84,0.133985,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.59.
CAND_0035292,85,0.133893,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.64.
CAND_0079031,86,0.133685,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.76.
CAND_0053459,87,0.133556,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 29.5; Platform response rate 0.58.
CAND_0080104,88,0.133467,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.16.
CAND_0074128,89,0.133212,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 50.8 + Active marketplace intent; Platform response rate 0.51.
CAND_0031542,90,0.133098,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 4.0; Platform response rate 0.62.
CAND_0026245,91,0.133083,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.29.
CAND_0096099,92,0.133022,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.38.
CAND_0077337,93,0.132678,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 68.0 + Active marketplace intent; Platform response rate 0.95.
CAND_0043972,94,0.132601,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.47.
CAND_0028847,95,0.131996,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.36.
CAND_0075439,96,0.131889,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 66.3; Platform response rate 0.56.
CAND_0069720,97,0.131476,AI/ML Engineer with 5.8 yrs; Systems: Active marketplace intent; Platform response rate 0.23.
CAND_0099288,98,0.131257,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 44.0 + Active marketplace intent; Platform response rate 0.51.
CAND_0001419,99,0.131084,AI/ML Engineer with 5.8 yrs; Systems: GitHub pipeline score 19.2 + Active marketplace intent; Platform response rate 0.50.
CAND_0041314,100,0.131002,AI/ML Engineer with 5.8 yrs; Systems: Applied production ML background; Platform response rate 0.66.
